time,lyrics,size
0,,
5.8302,パジャマジャマ　パジャマジャマ（パジャマ ! ）,
8.8428,恋したら　パジャマジャマ（パジャマ ! ）,
11.676,おしゃべりしよう Sweet Time,
16.343,パーッパパパッパー　ジャマジャマ♪（ジャマジャマ♪）（ジャマジャマ♪）,
22.2933,パーッパパパッパー　ジャマジャマ♪,
28.1825,誰から話しちゃう？　ソワソワしちゃってる,
34.267844,ときめきのきっかけは？（なになに？）,
37.367,ニヤニヤしちゃう（い・い・ね ! ）,
40.133,まだまだ話したい !　ゆっくり焦らずに,
46.3502,落ち着いて　まあひとつ（うんうん）お菓子食べよう !,
52.366,恋の始まりはいつも　突然ね　不思議だね,
58.3447,目に見えるものが全部　キラキラと輝いて,
64.7338,あんな事　こんな事まで  どんな瞬間（とき）だって（だって）,
70.7347,聞いてほしい事でいっぱい !　だから,
75.8311,パジャマに着替えて　みんなでおしゃべり,
82.183,あのね　でもね　内緒　ホントは,
85.333,聞いてほしいじゃない??（じゃない？）,
88.3138,パジャマに着替えて　朝までおしゃべり,
94.1776,いつか　zzz…夢の中,
99.8,ねえ、いつか叶うかな…,
106.313,パジャマジャマ　パジャマジャマ（パジャマ ! ）,
109.3433,恋したら　パジャマジャマ（パジャマ ! ）,
112.367,おしゃべりしよう Sweet Time パ・ジャ・マ !,
122.024,,
