time,lyrics,size
0,,
15.517,ショーウィンドウを辿って,
18.5,退屈な午後を抜け出そう,
22.05,ありがちな毎日に,
23.95,付け足しのアクセント,
25.417,放課後にちょっとのシゲキをレイヤード,
32.1,,
34.6,少し自慢のワードローブ,
37.567,退屈な午後を抜け出そう,
41.367,拘りのシルエット,
43.117,隠されたコンセプト,
44.75,とびきりのフェイバリットを集めたコレクション\n（さえない今日も　自分さえもみんな）,
52.067,トクベツになる\n（街中が動きだす）,
57.233,大好きな服を着たなら,
60.117,I morph into butterfly,
61.6,翅を広げ,
63.2,セイフクの繭を脱ぎ捨てて,
66.367,誰よりも自由な気分で,
70.35,街へ飛び出せば,
72.133,Feel like walking down the runway,
74.317,もっとよく見て,
75.917,本当の自分はそこにいる,
79.083,少しだけ強気な足取りに,
82.267,世界中が恋に落ちてゆく,
86.233,そんな自分がいいから,
92.1,,
95.017,（Morphing into myself）,
100.35,Just like we morph into butterfly 翅を広げ,
104.517,無個性の繭を破り捨て,
107.7,私が私であるための,
111.667,服に着替えたなら,
113.9,いつもより素敵な街がほら,
117.233,主役を待ってる、さぁ行こう,
120.467,少しだけ強気な足取りで,
123.583,世界の真ん中を歩いてく,
127.617,自由な蝶みたいに,
130.75,そんな自分がいいから,
135,,
