time,lyrics,size
0,,
3.400,忍、暗に舞い躍り──,
6.017,並べて世は事も無し。,
8.567,忍びの力で現し世を,
10.750,ニンッと照らしてみせましょう。,
13.133,──すゝめ　忍者 !,
19.383,,
24.783,摩天楼　那由他　LED,
27.433,涙　乱反射,
29.550,人の世　輝くほどに,
32.133,影も色濃く成り行く,
35.000,研ぎ澄ました忍の業,
37.600,甘く見ちゃった油断が仇,
39.767,避けて疾風　お目々回せ,
42.467,戦わずに勝て　忍の戦,
45.267,悪意が心臓に刃を向けた時は,
55.200,『忍』の一文字　思いだして,
64.733,「忍法・影分身の術 !」,
67.183,NIN NIN 忍灯　世を照らせ,
69.683,我　シノビパーソン,
72.283,NIN NIN 人我無相なれ,
75.067,あなたも好きになれ,
77.650,大きな志を抱いて行こう,
82.850,小さな由無し事など構わなくていい,
90.617,『生きて　そして　花実　咲かせて』（ニンッ !）,
95.933,,
103.600,NIN NIN NINJA is cool!,
106.200,之　シノビリーズン,
108.783,NIN NIN ニンッと義を成すの,
111.383,世の闇　艶やかに,
114.033,夢はいつだって闇の中に,
119.233,ならば最高の夢,
123.217,魅せてあげましょう,
127.000,『生きて　そして　花実　咲かせて』（ニンッ !）,
132.63,,
