time,lyrics,size
0.00 ,,
2.82 ,ワイワイみなさん　今夜はようこそ,
5.69 ,イエイイエイ歌おう　ヒットパレード,
9.95 ,,
20.46 ,かけがえのないこの時間は,
23.36 ,みんなでつくりだすもの,
26.10 ,上手もどうぞ　下手もどうぞ,
28.90 ,シンデレラが,
31.24 ,今宵かぎりのミラクルなショウをおくるよ,
37.78 ,初見ですぐにのれてしまう,
40.79 ,素敵すぎる　きみだから,
43.55 ,ひっぱってください,
46.47 ,あじわってください,
49.34 ,はりきっていきましょう,
52.26 ,魅惑のゴールデン・ヒットパレード　レジェンド,
59.11 ,,
74.5 ,あぁ,
75.78,わたし回る,
77.353,きみは踊る,
79.182,ミラーボール・ラブ,
81.608,逆さまの世界で,
84.493,内緒のアイズ・オン・ユー,
86.955,愛してる,
88.789,いつか,
89.985,いつの日にかきみと一緒にわたしも !,
97.171,,
100.683,Glowing Now　つながるメロディ　輝き散りばめたフレーズ,
107.69,（体じゅうで）感じてるんだ　Neverending Music,
112.462,ここでひとつまた叶えた夢の先に,
118.522,（私たちは）また夢を描いてゆく,
122.551,今　脈打つコドウ　ピュアなGrooveに身をまかせ,
131.641,刻む　Unlock Starbeat（刻め ! Unlock Starbeat）,
137.034,自由なココロで　Here We Go!,
145.771,,
148.406,Yes! Party Time!!,
150.72,,
154.85,Yes! Golden Time!!,
157.17,,
158.048,揺らせ ! 激しく　Heart Beat,
160.132,君の　Emotion,
161.944,さらけ出せたら無敵だね,
165.264,歌おう　Singing,
166.611,踊ろう　Dancing,
168.457,ここから　ちゃんと見てるよ,
174.07,目と目があった時　始まるのはLove Story??,
184.066,Yes! Party Time!!,
186.367,,
190.527,Yes! Golden Time!!,
192.863,,
