time,lyrics,size
0.00 ,,
2.81 ,まっさらな世界　何を君は描く？,
12.78 ,,
23.77 ,偶然の再会は突然に,
28.55 ,ほつれた糸　紡いでゆく,
31.82 ,運命の采配は悪戯に,
36.52 ,白紙の頁めくりめく,
41.19 ,ああ　生まれ変わるたびに,
44.741,重ねたぬくもりを探してる,
53.355,君と出逢い、君と往く,
56.757,ハッピーエンドのその先で,
60.17,ありきたりで、けれど愛しい,
63.746,日々を過ごしたいよ,
66.161,君と笑い、君と泣く,
69.505,バッドエンドのその先で,
73.011,何度でも　君の手を,
76.529,握りしめるから,
82.369,儚くて脆い　箱庭の「今」を,
88.766,失っても,
91.912,君だけは,
94.942,離さないよ,
100.782,,
102.013,まっさらな世界,
104.788,何を　君は描く,
109.873,真っ青な空を見上げ,
114.354,願う未来,
116.525,やがてよりあう魂が,
122.76,絆になるように,
131.37,,
