time,lyrics,size
0,,
18.483,“コイしていました”,
21.033,自分勝手な衝動,
23.867,“アイしちゃいました”,
26.183,運命が絡まる,
29.199,“コイしていました”,
31.483,身勝手な切なさと,
34.4,“アイしちゃいました”,
36.867,戻れない日常,
40.03,（1 in 2）,
41.367,情熱に嘘はつけないの,
45.2,（1 in 2）,
46.7,想いは同じ角度をつけた,
50.533,（Triangle）,
52.033,刺さる様な痛みを知っても,
55.057,負けない,
56.945,儚い覚悟を見て !,
61.2,終わりでも構わない,
65.364,重なり合って　しまったんだ,
68.3,紅く燃えている,
70.658,Isosceles（アイソセレス）,
72.367,また　また,
73.7,脈打ってしまう,
77.2,“私”じゃない笑顔に,
79.867,ツバサをもがれても,
82.27,涙は見せないと,
84.367,誓うよ,
86.817,（ドクドクと...）,
92.067,息が止まりそう　キミのせいです,
96.367,でも　でも,
97.7,高鳴ってる,
101.033,二つの鼓動が　刻むサイレン,
106.533,終わりでも構わない,
110.7,重なり合って　しまったんだ,
113.467,紅く燃えている,
116.066,Isosceles（アイソセレス）,
117.65,また　また,
119.013,脈打ってしまう,
122.533,“私”じゃない笑顔に,
125.2,ツバサをもがれても,
127.7,涙は見せないと,
129.716,誓うよ,
134,,
