time,lyrics,size
0,,
7.167,ダンス　ダンス　ダンス,
12.31,踊ろう,
16.733,,
36.8,23時の街を君の手を取り走る,
44.29,地球発の最終バスは逃したくないな,
51.9,きっと世界は終わるから踊りに行こうぜ,
59.394,みずがめ座のダンスホールが僕らを待ってるから,
66.609,どんな昨日もどんな未来も,
81.67,大気圏に置いていける,
89.35,僕は君が,
91.267,君がいればいいかな,
96.85,めくるめく彗星のせいさ,
98.71,閃光星のステップで,
100.207,ずっとこんなふうに,
102.853,ダンス　ダンス　ダンス,
104.27,さんざめく照明はクエーサー,
106.267,ぎゅっと手を握って,
107.59,ねえDon’t stop the music,
109.86,お願い,
111.782,マスターピース,
112.67,ハイファイなビート,
113.616,さあ鳴り響くよ,
114.766,きっとずっとこんなふうに,
118.006,ダンス　ダンス　ダンス,
119.404,凪いだ北極星のルーフトップ,
121.37,150年先も　ねえDon’t stop the music,
124.815,このままずっと,
126.391,ずっとこんなふうに,
130.533,お願い,
135.48,,
