time,lyrics,size
0,,
3.2,new song.. new resonate..,
14.083,,
28.45,あなたの声を聴くたび,
34.133,私の深くが震えるから,
39.433,惹かれ合って,
40.833,弾き合って,
42.183,強くなった振動が,
46.85,空気を伝って,
50.667,もしもこの声を,
53.4,重ね合わせたら,
56.1,新しい何かが,
61,（you and me）,
62.65,ふたり歩いてきたその先に,
67.617,あなたとだから,
69.983,描ける,
71.517,世界がある,
73.833,まだ知らない喜びを,
78.383,想像して,
80.383,信じて,
81.9,共鳴するの,
85.183,新しい音が,
89.6,聴こえるはず,
91.35,new song.. new resonate..,
94.933,聴こえるでしょ？,
96.7,new song.. new resonate..,
101.833,,
103.333,たとえその響きが未完成でも,
108.217,あなたとならば,
110.75,美しい,
112.133,世界になる,
114.65,それぞれのプライドを,
119.033,称え合って信じて共鳴すれば,
125.983,新しい歌が生まれるから,
131.983,new song.. new resonate..,
136.75,,
